userName,content,score,at,appVersion,text,label,sentiment
Baihaqi Haqi,Senang pake gojek banyak promonya yg menarik,0.9996019005775452,2021-11-05 06:33:58,4.30.1,"Translated(src=id, dest=en, text=b'Happy to use Gojek, lots of interesting promotions', pronunciation=b'Happy to use Gojek, lots of interesting promotions', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9996019005775452}]"
Taufiq Ismail,Banyak promo,0.9938876032829285,2021-11-05 06:34:17,4.30.1,"Translated(src=id, dest=en, text=b'Lots of promotions', pronunciation=b'Lots of promotions', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9938876032829285}]"
Ikke Veronica,Ayolah aplikasi gojek adain GOCHIP ,0.9913763403892517,2021-12-06 14:26:45,4.30.1,"Translated(src=id, dest=en, text=b'Come on, the Gojek application has GOCHIP', pronunciation=b'Come on, the Gojek application has GOCHIP', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9913763403892517}]"
Muhammad Fachrul,Gajelasss mau pake gosend alamat gaterdeteksi terus mending grab,0.9973217844963074,2021-11-05 06:37:38,4.30.1,"Translated(src=id, dest=en, text=b'It's not clear if you want to use GoSend for the GateDetection address, but it's better to grab it', pronunciation=b'It's not clear if you want to use GoSend for the GateDetection address, but it's better to grab it', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9973217844963074}]"
Sri Rahayu,Sangat membantu,0.9994805455207825,2021-11-29 00:55:57,4.30.1,"Translated(src=id, dest=en, text=b'Very helpful', pronunciation=b'Very helpful', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9994805455207825}]"
Robbie Herdiansyah,Kecewa lah,0.9997183680534363,2021-11-05 06:42:44,4.30.1,"Translated(src=id, dest=en, text=b'I'm disappointed', pronunciation=b'I'm disappointed', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9997183680534363}]"
Supri Hatin,Sangat membantu,0.9994805455207825,2021-12-09 12:20:06,4.30.1,"Translated(src=id, dest=en, text=b'Very helpful', pronunciation=b'Very helpful', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9994805455207825}]"
Fitri wulan sari,Banyak diskon,0.9467196464538574,2021-11-05 06:43:27,4.30.1,"Translated(src=id, dest=en, text=b'Many discounts', pronunciation=b'Many discounts', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9467196464538574}]"
Azzam Sakha,Siip,0.7821958661079407,2021-11-05 08:10:28,4.30.1,"Translated(src=id, dest=en, text=b'Siip', pronunciation=b'Siip', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.7821958661079407}]"
Pangeran Krisna,Semoga bermanfaat trs,0.994545578956604,2021-11-05 08:14:02,4.30.1,"Translated(src=id, dest=en, text=b'Hopefully it's useful, bro', pronunciation=b'Hopefully it's useful, bro', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.994545578956604}]"
Nita Aprilia,Sangat membantu,0.9994805455207825,2021-11-17 06:40:47,4.30.1,"Translated(src=id, dest=en, text=b'Very helpful', pronunciation=b'Very helpful', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9994805455207825}]"
Ismi Yati,Aplikasi mantab,0.9995893836021423,2021-11-05 09:52:24,4.30.1,"Translated(src=id, dest=en, text=b'Great application', pronunciation=b'Great application', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995893836021423}]"
Ramah Naning,Cepat tepat mantab,0.9994562268257141,2021-11-05 10:07:49,4.30.1,"Translated(src=id, dest=en, text=b'Quick, precise, steady', pronunciation=b'Quick, precise, steady', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9994562268257141}]"
Togar Sianipar,Sangat puas,0.9995587468147278,2021-11-14 07:17:28,4.30.1,"Translated(src=id, dest=en, text=b'Very satisfied', pronunciation=b'Very satisfied', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995587468147278}]"
adi yopi,Good,0.9998444318771362,2021-11-05 09:56:18,4.30.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Bilge Mulki,Gopay saya di blokir tanpa ada kejelasan uang pun mengendapburuk,0.9998059868812561,2021-11-10 11:56:03,4.30.1,"Translated(src=id, dest=en, text=b'My Gopay was blocked without any clarity and the money was deposited badly', pronunciation=b'My Gopay was blocked without any clarity and the money was deposited badly', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9998059868812561}]"
Dian Lestari,Banyakin promonya lagi dooonggg ,0.96468186378479,2021-11-10 11:58:00,4.30.1,"Translated(src=id, dest=en, text=b'More promos please', pronunciation=b'More promos please', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.96468186378479}]"
Ilyas Zay,Keren,0.9991068243980408,2021-11-05 09:54:39,4.30.1,"Translated(src=id, dest=en, text=b'Cool', pronunciation=b'Cool', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9991068243980408}]"
W Irianti,Sangat membantu dengan adanya aplikasi gojek,0.9849880933761597,2021-11-22 11:35:01,4.30.1,"Translated(src=id, dest=en, text=b'Very helpful with the Gojek application', pronunciation=b'Very helpful with the Gojek application', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9849880933761597}]"
